"StartTime","EndTime","director","trial","target","pair","transitions","round"
1868640,1878740,"B","3.9_ref",13,"007008",1,3
1892050,1900950,"A","3.10_ref",2,"007008",1,3
1914210,1929670,"B","3.11_ref",11,"007008",3,3
1939430,1948840,"A","3.12_ref",6,"007008",3,3
1956250,1970560,"B","3.13_ref",5,"007008",1,3
1975740,1984540,"A","3.14_ref",8,"007008",1,3
2002810,2010650,"B","3.15_ref",3,"007008",1,3
2017930,2040950,"A","3.16_ref",14,"007008",5,3
2069150,2076140,"B","4.1_ref",10,"007008",3,4
2088440,2096800,"A","4.2_ref",15,"007008",1,4
2103890,2112410,"B","4.3_ref",6,"007008",1,4
2122040,2141470,"A","4.4_ref",1,"007008",7,4
2155680,2167360,"B","4.5_ref",16,"007008",1,4
2191610,2199110,"A","4.6_ref",13,"007008",1,4
2214460,2221900,"B","4.7_ref",12,"007008",1,4
2234810,2243680,"A","4.8_ref",7,"007008",3,4
2262360,2271510,"B","4.9_ref",2,"007008",1,4
2284970,2300830,"A","4.10_ref",9,"007008",1,4
2314960,2330910,"B","4.11_ref",14,"007008",3,4
2348940,2365450,"A","4.12_ref",5,"007008",3,4
2387100,2395060,"B","4.13_ref",8,"007008",1,4
2418620,2430200,"A","4.14_ref",11,"007008",3,4
2448390,2453320,"B","4.15_ref",4,"007008",1,4
2466700,2472740,"A","4.16_ref",3,"007008",3,4
2478670,2484700,"B","5.1_ref",7,"007008",5,5
2511410,2518840,"A","5.2_ref",6,"007008",3,5
2525020,2534720,"B","5.3_ref",11,"007008",3,5
2568830,2577670,"A","5.4_ref",10,"007008",1,5
2586280,2598320,"B","5.5_ref",9,"007008",1,5
2603080,2614070,"A","5.6_ref",4,"007008",4,5
2626920,2635100,"B","5.7_ref",13,"007008",2,5
2646710,2655370,"A","5.8_ref",12,"007008",1,5
2665250,2677920,"B","5.9_ref",1,"007008",5,5
2693390,2701970,"A","5.10_ref",8,"007008",1,5
2707760,2715190,"B","5.11_ref",15,"007008",1,5
2727440,2734830,"A","5.12_ref",14,"007008",4,5
2741460,2754880,"B","5.13_ref",5,"007008",2,5
2769450,2785930,"A","5.14_ref",16,"007008",4,5
2804270,2810080,"B","5.15_ref",3,"007008",2,5
2815670,2824930,"A","5.16_ref",2,"007008",0,5
2830510,2836220,"B","6.1_ref",10,"007008",2,6
2854430,2872250,"A","6.2_ref",11,"007008",3,6
2885300,2892470,"B","6.3_ref",8,"007008",1,6
2898790,2906030,"A","6.4_ref",7,"007008",1,6
2914990,2921220,"B","6.5_ref",4,"007008",1,6
2940980,2946280,"A","6.6_ref",3,"007008",1,6
2960590,2968870,"B","6.7_ref",14,"007008",1,6
2973740,2980630,"A","6.8_ref",13,"007008",3,6
2986420,2996930,"B","6.9_ref",2,"007008",3,6
3050210,3063130,"A","6.10_ref",9,"007008",3,6
3071780,3081350,"B","6.11_ref",6,"007008",1,6
3122440,3130140,"A","6.12_ref",1,"007008",3,6
3144400,3156380,"B","6.13_ref",16,"007008",1,6
3159410,3169350,"A","6.14_ref",5,"007008",3,6
3172790,3183280,"B","6.15_ref",12,"007008",1,6
3189730,3195220,"A","6.16_ref",15,"007008",1,6
3080,82980,"B","1.1_ref",9,"009010",15,1
121460,201880,"A","1.2_ref",6,"009010",35,1
257230,299230,"B","1.3_ref",15,"009010",13,1
328930,379260,"A","1.4_ref",14,"009010",21,1
403290,441020,"B","1.5_ref",13,"009010",9,1
492950,588830,"A","1.6_ref",16,"009010",29,1
603100,629520,"B","1.7_ref",11,"009010",9,1
663830,726510,"A","1.8_ref",8,"009010",23,1
763020,801720,"B","1.9_ref",3,"009010",7,1
818740,848480,"A","1.10_ref",10,"009010",9,1
856250,891880,"B","1.11_ref",5,"009010",9,1
904080,932200,"A","1.12_ref",4,"009010",7,1
943330,979030,"B","1.13_ref",7,"009010",11,1
985620,1014250,"A","1.14_ref",2,"009010",5,1
